Campanha,Própria,Imprópria,Muito Boa,Indisponível,Satisfatória
05/2014,25,19,0,19,0
03/2014,25,19,0,57,0
02/2014,29,15,0,30,0
53/2013,0,0,0,11,0
35/2013,17,15,4,20,5
52/2013,0,0,0,43,0
51/2013,18,12,0,13,0
34/2013,32,20,4,0,5
50/2013,15,15,0,13,0
33/2013,29,23,4,0,5
49/2013,17,13,0,2,0
32/2013,19,5,4,38,6
48/2013,15,15,0,11,0
31/2013,0,0,0,88,0
19/11/13,2,1,0,0,0
47/2013,14,16,0,11,0
30/2013,0,0,0,61,0
29/2013,0,0,0,61,0
46/2013,15,15,0,11,0
28/2013,0,0,0,61,0
45/2013,11,19,0,0,0
44/2013,18,13,2,0,8
43/2013,17,14,2,0,8
26/2013,0,0,0,61,0
42/2013,15,16,2,0,8
41/2013,15,16,3,0,7
24/2013,19,1,0,41,0
23/2013,18,2,0,41,0
40/2013,16,15,3,0,7
39/2013,18,14,4,0,5
22/2013,18,2,6,71,5
38/2013,15,17,4,0,5
21/2013,18,4,5,30,4
37/2013,16,16,4,0,5
20/2013,25,26,4,0,6
36/2013,17,15,4,0,5
19/2013,31,20,5,0,5
18/2013,27,24,4,0,6
17/2013,35,17,4,0,5
16/2013,25,8,5,20,3
15/2013,24,9,4,20,4
14/2013,21,12,5,20,3
13/2013,20,12,6,20,3
12/2013,19,11,5,19,6
11/2013,37,13,5,0,6
10/2013,20,10,6,20,5
27/2013,0,0,0,41,0
09/2013,0,0,6,19,5
08/2013,0,0,6,39,5
25/2013,0,2,10,30,10
07/2013,16,4,6,0,5
06/2013,16,4,0,0,0
05/2013,17,3,0,0,0
04/2013,0,0,0,20,0
03/2012,0,0,0,20,0
02/2013,0,0,0,20,0
01/2013,24,6,0,20,0
9/2013,18,12,0,0,0
8/2013,26,4,0,0,0
7/2013,23,7,0,0,0
6/2013,19,11,4,30,7
5/2013,21,10,3,0,7
4/2013,22,8,0,11,0
3/2013,20,10,0,11,0
2/2013,24,6,0,11,0
1/2013,0,0,0,11,0
46/2012,27,3,0,0,0
45/2012,26,4,0,0,0
44/2012,27,3,0,0,0
43/2012,24,6,0,0,0
42/2012,25,5,0,0,0
41/2012,21,9,0,0,0
40/2012,22,8,0,0,0
39/2012,19,11,0,0,0
38/2012,0,0,0,30,0
37/2012,0,0,0,30,0
36/2012,0,0,0,30,0
35/2012,19,11,0,0,0
34/2012,22,8,0,0,0
33/2012,21,9,0,0,0
32/2012,44,16,0,0,0
31/2012,23,7,0,0,0
30/2012,0,0,0,30,0
29/2012,0,0,0,30,0
28/2012,20,10,0,0,0
27/08/2012,23,7,0,0,0
26/2012,18,12,0,0,0
25/2012,12,18,0,0,0
24/2012,15,15,0,0,0
23/2012,15,15,0,0,0
22/2012,16,14,0,0,0
21/2012,13,17,0,0,0
20/2012,20,10,0,0,0
19/2012,16,14,0,0,0
18/2012,19,11,0,0,0
17/2012,18,12,0,0,0
16/2012,19,11,0,0,0
15/2012,8,22,0,0,0
14/2012,24,6,0,0,0
13/2012,22,8,0,0,0
12/2012,23,7,0,0,0
11/2012,22,8,0,0,0
10/2012,23,7,0,0,0
9/2012,22,8,0,0,0
8/2012,0,0,0,30,0
7/2012,0,0,0,30,0
6/2012,0,0,0,30,0
5/2012,15,15,0,0,0
4/2012,21,9,0,0,0
3/2012,22,8,0,0,0
2/2012,17,13,0,0,0
1/2012,24,6,0,0,0
46/2011,23,7,0,0,0
45/2011,21,9,0,0,0
44/2011,11,19,0,0,0
43/2011,23,7,0,0,0
42/2011,22,8,0,0,0
41/2011,18,12,0,0,0
40/2011,17,13,0,0,0
39/2011,19,11,0,0,0
38/2011,21,9,0,0,0
37/2011,12,18,0,0,0
36/2011,23,7,0,0,0
35/2011,22,8,0,0,0
34/2011,22,8,0,0,0
33/2011,18,12,0,0,0
32/2011,21,9,0,0,0
31/2011,22,8,0,0,0
30/2011,21,9,0,0,0
29/2011,21,9,0,0,0
28/2011,23,7,0,0,0
27/2011,40,20,0,0,0
26/2011,17,13,0,0,0
25/2011,0,0,0,30,0
24/2011,21,9,0,30,0
23/2011,0,0,0,60,0
22/2011,0,0,0,30,0
42/2010,24,6,0,0,0
41/2010,24,6,0,0,0
40/2010,22,8,0,0,0
39/2010,25,5,0,0,0
38/2010,53,7,0,0,0
37/2010,28,2,0,0,0
36/2010,0,0,0,30,0
35/2010,0,0,0,30,0
34/2010,0,0,0,30,0
32/2010,0,0,0,30,0
31/2010,0,0,0,30,0
30/2010,21,9,0,0,0
29/2010,22,8,0,0,0
28/2010,24,6,0,0,0
27/2010,21,9,0,0,0
26/2010,46,14,0,0,0
25/2010,18,12,0,0,0
24/2010,21,9,0,0,0
23/2010,19,11,0,0,0
22/2010,0,0,0,30,0
21/2010,0,0,0,30,0
20/2010,0,0,0,30,0
19/2010,0,0,0,30,0
18/2010,0,0,0,30,0
17/2010,0,0,0,30,0
16/2010,0,0,0,30,0
15/2010,0,0,0,30,0
14/2010,0,0,0,30,0
13/2010,0,0,0,30,0
12/2010,0,0,0,30,0
11/2010,0,0,0,30,0
10/2010,0,0,0,30,0
09/2010,0,0,0,30,0
08/2010,0,0,0,30,0
07/2010,0,0,0,30,0
06/2010,25,5,0,0,0
05/2010,24,6,0,0,0
04/2010,24,6,0,0,0
03/2010,0,0,0,30,0
02/2010,0,0,0,30,0
01/2010,0,0,0,30,0
30/2009,0,0,0,30,0
29/2009,28,2,0,0,0
28/2009,29,1,0,0,0
27/2009,28,2,0,0,0
26/2009,25,5,0,0,0
25/2009,27,3,0,0,0
24/2009,25,5,0,0,0
23/2009,25,5,0,0,0
22/2009,25,5,0,0,0
21/2009,26,4,0,0,0
20/2009,21,9,0,0,0
19/2009,27,3,0,0,0
18/2009,26,3,0,1,0
17/2009,0,0,0,30,0
16/2009,0,0,0,30,0
15/2009,0,0,0,30,0
14/2009,0,0,0,30,0
13/2009,0,0,0,30,0
12/2009,0,0,0,30,0
11/2009,0,0,0,30,0
10/2009,0,0,0,30,0
09/2009,0,0,0,30,0
08/2009,0,0,0,30,0
07/2009,0,0,0,30,0
06/2009,26,4,0,0,0
05/2009,26,4,0,0,0
04/2009,29,1,0,0,0
03/2009,26,4,0,0,0
02/2009,23,7,0,0,0
01/2009,0,0,0,30,0
37/2008,0,0,0,30,0
36/2008,0,0,0,30,0
35/2008,29,1,0,0,0
34/2008,30,0,0,0,0
33/2008,29,1,0,0,0
32/2008,0,0,0,30,0
31/2008,0,0,0,30,0
30/2008,0,0,0,30,0
29/2008,25,5,0,0,0
28/2008,25,5,0,0,0
27/2008,24,6,0,0,0
26/2008,25,5,0,0,0
25/2008,28,2,0,0,0
24/2008,27,3,0,0,0
23/2008,26,4,0,0,0
22/2008,26,4,0,0,0
21/2008,26,4,0,0,0
20/2008,25,5,0,0,0
19/2008,0,0,0,30,0
18/2008,0,0,0,30,0
17/2008,0,0,0,30,0
16/2008,0,0,0,60,0
15/2008,0,0,0,30,0
14/2008,0,0,0,30,0
13/2008,0,0,0,30,0
12/2008,0,0,0,30,0
11/2008,0,0,0,30,0
10/2008,0,0,0,30,0
09/2008,27,3,0,0,0
08/2008,0,0,0,30,0
07/2008,0,0,0,30,0
06/2008,0,0,0,30,0
05/2008,0,0,0,30,0
04/2008,0,0,0,30,0
03/2008,0,0,0,30,0
02/2008,0,0,0,30,0
01/2008,0,0,0,60,0
32/2007,0,0,0,30,0
31/2007,0,0,0,30,0
30/2007,0,0,0,30,0
29/2007,24,6,0,0,0
28/2007,23,7,0,0,0
27/2007,25,5,0,0,0
26/2007,26,4,0,0,0
25/2007,0,0,0,30,0
24/2007,0,0,0,30,0
23/2007,0,0,0,30,0
22/2007,0,0,0,30,0
21/2007,0,0,0,30,0
20/2007,0,0,0,30,0
19/2007,0,0,0,30,0
18/2007,0,0,0,30,0
17/2007,0,0,0,30,0
16/2007,0,0,0,30,0
15/2007,0,0,0,30,0
14/2007,0,0,0,30,0
13/2007,0,0,0,30,0
12/2007,0,0,0,30,0
11/2007,0,0,0,30,0
10/2007,0,0,0,30,0
09/2007,0,0,0,30,0
08/2007,0,0,0,30,0
07/2007,0,0,0,30,0
06/2007,27,3,0,0,0
05/2007,27,3,0,0,0
04/2007,0,0,0,30,0
03/2007,0,0,0,30,0
02/2007,0,0,0,30,0
01/2007,0,0,0,30,0
